age,balance,duration,job,marital,education,default,housing,loan,contact,day,month,campaign,pdays,previous,poutcome,y
30,1787,79,unemployed,married,primary,no,no,no,cellular,19,oct,1,-1,0,unknown,no
33,4789,220,services,married,secondary,no,yes,yes,cellular,11,may,1,339,4,failure,no
35,1350,185,management,single,tertiary,no,yes,no,cellular,16,apr,1,330,1,failure,no
30,1476,199,management,married,tertiary,no,yes,yes,unknown,3,jun,4,-1,0,unknown,no
59,0,226,blue-collar,married,secondary,no,yes,no,unknown,5,may,1,-1,0,unknown,no
35,747,141,management,single,tertiary,no,no,no,cellular,23,feb,2,176,3,failure,no
36,307,341,self-employed,married,tertiary,no,yes,no,cellular,14,may,1,330,2,other,no
39,147,151,technician,married,secondary,no,yes,no,cellular,6,may,2,-1,0,unknown,no
41,221,57,entrepreneur,married,tertiary,no,yes,no,unknown,14,may,2,-1,0,unknown,no
43,-88,313,services,married,primary,no,yes,yes,cellular,17,apr,1,147,2,failure,no
39,9374,273,services,married,secondary,no,yes,no,unknown,20,may,1,-1,0,unknown,no
43,264,113,admin.,married,secondary,no,yes,no,cellular,17,apr,2,-1,0,unknown,no
36,1109,328,technician,married,tertiary,no,no,no,cellular,13,aug,2,-1,0,unknown,no
20,502,261,student,single,secondary,no,no,no,cellular,30,apr,1,-1,0,unknown,yes
31,360,89,blue-collar,married,secondary,no,yes,yes,cellular,29,jan,1,241,1,failure,no
40,194,189,management,married,tertiary,no,no,yes,cellular,29,aug,2,-1,0,unknown,no
56,4073,239,technician,married,secondary,no,no,no,cellular,27,aug,5,-1,0,unknown,no
37,2317,114,admin.,single,tertiary,no,yes,no,cellular,20,apr,1,152,2,failure,no
25,-221,250,blue-collar,single,primary,no,yes,no,unknown,23,may,1,-1,0,unknown,no
31,132,148,services,married,secondary,no,no,no,cellular,7,jul,1,152,1,other,no
38,0,96,management,divorced,unknown,no,yes,no,cellular,18,nov,2,-1,0,unknown,no
42,16,140,management,divorced,tertiary,no,no,no,cellular,19,nov,3,-1,0,unknown,no
44,106,109,services,single,secondary,no,no,no,unknown,12,jun,2,-1,0,unknown,no
44,93,125,entrepreneur,married,secondary,no,no,no,cellular,7,jul,2,-1,0,unknown,no
26,543,169,housemaid,married,tertiary,no,no,no,cellular,30,jan,3,-1,0,unknown,no
41,5883,182,management,married,tertiary,no,no,no,cellular,20,nov,2,-1,0,unknown,no
55,627,247,blue-collar,married,primary,no,yes,no,unknown,5,may,1,-1,0,unknown,no
67,696,119,retired,married,unknown,no,no,no,telephone,17,aug,1,105,2,failure,no
56,784,149,self-employed,married,secondary,no,no,yes,cellular,30,jul,2,-1,0,unknown,no
53,105,74,admin.,married,secondary,no,no,yes,cellular,21,aug,2,-1,0,unknown,no
68,4189,897,retired,divorced,secondary,no,no,no,telephone,14,jul,2,-1,0,unknown,yes
31,171,81,technician,married,secondary,no,no,no,cellular,27,aug,3,-1,0,unknown,no
59,42,40,management,married,secondary,no,no,no,cellular,21,nov,1,-1,0,unknown,no
32,2536,958,management,single,tertiary,no,yes,no,cellular,26,aug,6,-1,0,unknown,yes
49,1235,354,technician,married,tertiary,no,no,no,cellular,13,aug,3,-1,0,unknown,yes
42,1811,150,admin.,divorced,secondary,no,yes,no,unknown,14,may,1,-1,0,unknown,no
78,229,97,retired,divorced,primary,no,no,no,telephone,22,oct,1,-1,0,unknown,yes
32,2089,132,blue-collar,married,secondary,no,yes,no,cellular,14,nov,1,-1,0,unknown,yes
33,3935,765,management,married,secondary,no,yes,no,cellular,6,may,1,342,2,failure,yes
23,363,16,services,single,tertiary,no,yes,no,unknown,30,may,18,-1,0,unknown,no
38,11971,609,management,single,tertiary,no,yes,no,unknown,17,nov,2,101,3,failure,no
36,553,106,management,single,tertiary,no,no,no,cellular,11,aug,2,-1,0,unknown,no
52,1117,365,blue-collar,married,secondary,no,yes,no,cellular,13,may,1,-1,0,unknown,no
32,396,205,technician,married,tertiary,no,yes,no,cellular,13,may,3,-1,0,unknown,no
32,2204,11,technician,single,tertiary,no,yes,no,cellular,21,nov,4,-1,0,unknown,no
34,872,105,management,single,tertiary,no,yes,no,unknown,7,may,2,-1,0,unknown,no
55,145,59,blue-collar,married,primary,no,no,no,telephone,2,feb,3,5,2,other,no
26,0,425,blue-collar,married,primary,no,yes,no,unknown,21,may,1,-1,0,unknown,no
32,-849,204,entrepreneur,single,primary,yes,yes,yes,cellular,4,feb,1,-1,0,unknown,no
61,4629,181,admin.,married,unknown,no,yes,no,cellular,27,jan,1,92,1,success,yes
45,844,1018,blue-collar,divorced,primary,no,no,no,unknown,5,jun,3,-1,0,unknown,yes
37,228,1740,technician,single,secondary,no,yes,no,cellular,20,aug,2,-1,0,unknown,no
38,50,98,technician,single,secondary,no,no,no,cellular,29,aug,2,-1,0,unknown,no
34,1539,441,technician,married,tertiary,no,yes,no,cellular,15,jun,1,56,1,other,yes
53,2231,272,blue-collar,married,secondary,no,yes,no,cellular,14,jul,3,-1,0,unknown,no
48,3064,159,admin.,married,secondary,no,yes,no,telephone,15,jul,2,-1,0,unknown,no
57,82,140,management,married,secondary,no,no,yes,telephone,4,feb,1,-1,0,unknown,no
33,2155,295,self-employed,single,tertiary,no,no,no,cellular,17,nov,1,-1,0,unknown,no
36,101,314,retired,single,secondary,no,yes,yes,unknown,26,may,1,-1,0,unknown,no
54,784,579,technician,divorced,secondary,no,yes,yes,unknown,15,may,1,-1,0,unknown,no
41,-516,554,blue-collar,married,primary,no,no,yes,telephone,8,jul,3,-1,0,unknown,no
63,415,323,retired,married,secondary,no,yes,no,cellular,7,oct,1,-1,0,unknown,no
48,5887,227,management,married,tertiary,no,no,no,cellular,13,aug,2,-1,0,unknown,no
48,1355,134,services,married,secondary,no,no,no,cellular,4,jul,2,-1,0,unknown,no
56,16873,223,admin.,married,secondary,no,no,no,cellular,7,oct,1,-1,0,unknown,no
51,203,134,blue-collar,divorced,secondary,no,yes,no,cellular,8,may,1,170,5,failure,no
31,338,155,services,married,secondary,no,yes,no,cellular,28,jan,1,-1,0,unknown,no
29,444,130,technician,married,secondary,no,yes,no,cellular,21,jul,4,-1,0,unknown,no
41,0,630,management,married,secondary,no,no,yes,cellular,7,jul,3,-1,0,unknown,no
32,360,164,technician,single,tertiary,no,no,no,cellular,19,nov,2,-1,0,unknown,no
37,0,268,management,married,tertiary,no,no,no,cellular,16,jul,2,182,3,success,yes
42,2,380,entrepreneur,divorced,tertiary,yes,yes,no,unknown,5,may,1,-1,0,unknown,no
31,6248,154,management,single,tertiary,no,yes,no,unknown,9,may,2,-1,0,unknown,no
41,412,154,services,married,tertiary,no,yes,no,unknown,3,jun,5,-1,0,unknown,no
56,344,221,retired,married,secondary,no,yes,no,unknown,15,may,1,-1,0,unknown,no
54,3222,67,management,divorced,tertiary,no,no,no,cellular,14,aug,2,-1,0,unknown,no
41,174,367,blue-collar,divorced,secondary,no,yes,no,cellular,14,may,2,297,1,other,no
40,591,87,technician,single,secondary,no,no,yes,cellular,14,aug,6,-1,0,unknown,no
50,388,701,blue-collar,divorced,primary,no,no,no,cellular,5,feb,1,-1,0,unknown,no
40,219,204,unemployed,married,secondary,no,yes,no,cellular,17,nov,2,196,1,failure,no
27,451,652,admin.,divorced,secondary,no,yes,no,cellular,16,jul,1,-1,0,unknown,yes
60,5,63,retired,married,primary,no,no,no,cellular,26,aug,2,-1,0,unknown,no
28,177,150,admin.,single,secondary,no,yes,yes,cellular,6,may,1,-1,0,unknown,no
52,657,398,services,married,secondary,no,no,no,telephone,7,jul,2,460,2,failure,yes
37,1315,224,management,married,tertiary,no,no,no,cellular,30,jun,1,-1,0,unknown,yes
51,1466,406,blue-collar,married,primary,no,yes,no,unknown,7,may,2,-1,0,unknown,no
41,879,60,technician,single,secondary,no,no,yes,cellular,7,jul,4,-1,0,unknown,no
35,293,521,blue-collar,single,primary,no,yes,no,unknown,30,may,2,-1,0,unknown,no
38,424,279,admin.,married,secondary,no,yes,no,cellular,17,apr,1,-1,0,unknown,no
34,1831,203,blue-collar,married,secondary,no,yes,no,unknown,20,may,2,-1,0,unknown,no
39,111,201,blue-collar,married,primary,no,no,no,cellular,18,nov,2,-1,0,unknown,no
34,455,372,blue-collar,married,primary,no,yes,no,unknown,20,jun,3,-1,0,unknown,no
27,-195,391,services,single,secondary,no,yes,no,cellular,18,may,1,-1,0,unknown,yes
32,3616,165,management,single,tertiary,no,no,no,cellular,14,aug,2,-1,0,unknown,no
57,14093,231,blue-collar,married,secondary,no,no,no,cellular,11,aug,5,-1,0,unknown,no
41,1567,291,unknown,single,tertiary,no,no,no,cellular,1,jul,2,-1,0,unknown,no
41,5426,149,admin.,married,tertiary,no,yes,no,unknown,14,may,2,-1,0,unknown,no
30,261,233,admin.,single,tertiary,no,no,no,cellular,19,oct,1,137,20,failure,no
